Sentence,Token,Label
0,Adidas,O
0,ZX,O
0,Size,O
0,"40,41,42",O
0,Price,O
0,2900,O
0,birr,O
0,🏢አድራሻ-ሜክሲኮ,B-LOC
0,ኮሜርስ,I-LOC
0,ጀርባ,I-LOC
0,መዚድ,I-LOC
0,ፕላዛ,I-LOC
0,አንደኛ,O
0,ደረጃ,O
0,እንደወጡ,O
0,ያገኙናል,O
0,or,O
0,call,O
0,0920238243,O
1,መነሻዬ,O
1,ስዕል,B-Product
1,ደብተር,B-Product
1,ጥቅል,O
1,ምሉዕነት,O
1,ከጥራት,O
1,ጋር,O
1,!!,O
1,👉,O
1,በፍፁም,O
1,ቀለም,O
1,የማያሳልፍ,O
1,የስዕል,O
1,ደብተር,B-Product
1,👉,O
1,ሁለት,O
1,ገፆችን,O
1,በወጥነት,O
1,መጠቀም,O
1,የሚያስችል,O
1,👉,O
1,በየትኛውም,O
1,እድሜ,O
1,ክልል,O
1,ሊጠቀሙበት,O
1,የሚችሉት,O
1,👉,O
1,12,O
1,መጥፋት,O
1,የሚችሉ,O
1,ባለቀለም,O
1,እርሳሶችን,O
1,ያካተተ,O
1,👉,O
1,ለአያያዝ,O
1,አመቺ,O
1,የሆኑ,O
1,3,O
1,እርሳሶች,O
1,👉,O
1,ሲያጠፉባቸው,O
1,የማይፈረፈሩ,O
1,3,O
1,ላጲሶች,O
1,👉,O
1,ባለ,O
1,2,O
1,ቀዳዳ,O
1,መቅረጫ,O
1,ዋጋ,O
1,1400,B-PRICE
1,የማህበራዊ,O
1,ድረገፆቻችንን,O
1,ይጎብኙ,O
1,https://linktr.ee/meneshaye,O
1,ይደውሉ,O
1,0989939393,O
1,ወይም,O
1,0930323334,O
1,አድራሻ፦,O
1,1.ጉርድ,B-LOC
1,ሾላ,I-LOC
1,ሆሊ,I-LOC
1,ሲቲ,I-LOC
1,ሴንተር,I-LOC
1,2.,O
1,ፒያሳ,B-LOC
1,ካንትሪ,O
1,ታወር,O
1,በተጨማሪም,O
1,👉,O
1,ጀሞ,O
1,ደሊና,O
1,ሞል,O
1,፤,O
1,ገርጂ,B-LOC
1,ከፋውንቴን,O
1,ህንፃ,O
1,ፊት,O
